Price Region,Market Comp,Live,Change,Regional Signal,14-Aug,7-Aug,31-Jul,24-Jul,17-Jul,10-Jul,3-Jul,26-Jun,19-Jun,12-Jun,5-Jun,29-May,22-May,15-May,8-May,1-May,24-Apr,17-Apr,10-Apr,2-Apr,1-Apr,Win25-26,vs25-26,Win24-25,vs24-25,Win23-24,vs23-24,Win22-23,vs22-23,Win21-22,vs21-22
SouthCentral - Midcon,NGPL-Midcont Pool,-0.2382,0.0044,Not screened,-0.2426,-0.2335,-0.2621,-0.2213,-0.1897,-0.2149,-0.2943,-0.335,-0.3225,-0.3378,-0.3785,-0.403,-0.4301,-0.4445,-0.4497,-0.4746,-0.487,-0.549,-0.585,-0.5807,-0.5902,-1.1108940397,0.8726940397,-0.5042384106,0.2660384106,-0.3424342105,0.1042342105,-0.515794702,0.277594702,-0.3341721854,0.0959721854
Midwest - Chicago,NGPL-Nicor,0.2049,-0.0113,Not screened,0.2162,0.2259,0.218,0.2286,0.2428,0.2391,0.2171,0.1976,0.2107,0.2232,0.2195,0.1965,0.2148,0.1998,0.1973,0.2074,0.1824,0.1686,0.1802,0.1732,0.1556,0.1129139073,0.0919860927,-0.2470198675,0.4519198675,0.0760855263,0.1288144737,-0.007781457,0.212681457,-0.1364238411,0.3413238411
Midwest - Chicago,NGPL-Nipsco,0.2049,-0.0113,Not screened,0.2162,0.2259,0.218,0.2286,0.2428,0.2391,0.2171,0.1976,0.2107,0.2232,0.2195,0.1965,0.2148,0.1998,0.1973,0.2074,0.1824,0.1686,0.1802,0.1732,0.1556,0.1194039735,0.0854960265,-0.2540728477,0.4589728477,0.1234868421,0.0814131579,0.0066225166,0.1982774834,-0.1718543046,0.3767543046
SouthCentral - TexCoast,NGPL-STX,-0.6491,-0.0082,Not screened,-0.6409,-0.6285,-0.649,-0.6503,-0.6245,-0.6651,-0.7014,-0.6888,-0.6893,-0.7507,-0.7854,-0.8249,-0.8031,-0.8147,-0.7651,-0.7467,-0.5137,-0.4986,-0.4985,-0.4412,-0.4573,-1.2887417219,0.6396417219,-0.6888741722,0.0397741722,-0.4725986842,-0.1765013158,-0.6345033113,-0.0145966887,-0.2520666667,-0.3970333333
SouthCentral - TexCoast,NGPL-TXOK East,-0.4051,-0.0139,Not screened,-0.3912,-0.3822,-0.4098,-0.4174,-0.4049,-0.4387,-0.502,-0.4852,-0.4923,-0.5432,-0.5726,-0.5785,-0.5863,-0.5854,-0.5473,-0.5248,-0.5265,-0.5325,-0.5451,-0.4878,-0.5005,-0.9763576159,0.5712576159,-0.5166887417,0.1115887417,-0.4499013158,0.0448013158,-0.5723509934,0.1672509934,-0.2845364238,-0.1205635762
Midwest - Chicago,NNG-Demarc,0.2654,0.0004,Not screened,0.265,0.2674,0.2515,0.266,0.2825,0.2727,0.249,0.2178,0.2195,0.2071,0.2013,0.1898,0.2184,0.2009,0.2087,0.2129,0.1819,0.175,0.1721,0.1664,0.1524,-0.2195695364,0.4849695364,-0.2731456954,0.5385456954,0.2041776316,0.0612223684,0.2393377483,0.0260622517,-0.1541059603,0.4195059603
Midwest - Chicago,NNG-Ventura,0.5808,-0.0063,Not screened,0.5871,0.62,0.6072,0.6194,0.6322,0.6239,0.6039,0.5955,0.6126,0.6203,0.6175,0.604,0.6129,0.5959,0.6011,0.6125,0.5819,0.57,0.5807,0.5755,0.5614,0.7033112583,-0.1225112583,-0.1319536424,0.7127536424,0.4158223684,0.1649776316,0.2375827815,0.3432172185,-0.136986755,0.717786755
Mountain - Opal,NWP-Rocky Mtn,0.3099,0.0896,Not screened,0.2203,0.145,0.1027,0.165,0.1745,0.1054,-0.0369,-0.0649,0.0646,0.0404,0.0403,0.0048,-0.0306,-0.0501,-0.1253,-0.1849,-0.2877,-0.3191,-0.3526,-0.3346,-0.3346,-2.09992,2.40982,-0.6626821192,0.9725821192,0.2022297297,0.1076702703,4.3717114094,-4.0618114094,0.1001986755,0.2097013245
West - California,NWP-Sumas,0.5724,0.0889,Not screened,0.4835,0.4051,0.3904,0.447,0.4362,0.4201,0.2032,0.1751,0.3278,0.203,0.1498,0.1022,0.0681,0.0739,0.0799,0.0157,-0.2284,-0.2853,-0.2614,-0.2052,-0.2052,-2.5550662252,3.1274662252,-1.1450993377,1.7174993377,0.7995723684,-0.2271723684,8.8039072848,-8.2315072848,0.2980794702,0.2743205298
Mountain - WesTex,NWP-Wyoming,0.3099,0.0896,Not screened,0.2203,0.145,0.1027,0.165,0.1745,0.1054,-0.0369,-0.0649,0.0646,0.0404,0.0403,0.0048,-0.0306,-0.0501,-0.1253,-0.1849,-0.2877,-0.3191,-0.3526,-0.3346,-0.3346,-1.940794702,2.250694702,-0.6622516556,0.9721516556,0.2009539474,0.1089460526,4.4232543046,-4.1133543046,0.1020198675,0.2078801325
SouthCentral - Midcon,OGT,-0.0967,0.0004,Not screened,-0.0971,-0.0874,-0.1204,-0.0929,-0.0803,-0.1195,-0.1966,-0.2309,-0.207,-0.2408,-0.2853,-0.3113,-0.3367,-0.347,-0.3647,-0.3991,-0.428,-0.4799,-0.4945,-0.4912,-0.5008,-1.6100931507,1.5133931507,-0.4446655629,0.3479655629,-0.6378460526,0.5411460526,-0.5136536424,0.4169536424,-0.3971602649,0.3004602649
SouthCentral - WesTex,ONEOK Westex,-1.0697,-0.0716,Not screened,-0.9981,-1.0061,-1.0848,-1.0389,-1.0545,-1.1799,-1.2898,-1.1906,-1.1815,-1.1173,-1.3048,-1.3275,-1.2651,-1.4503,-1.27,-1.3428,-1.2477,-1.225,-1.32,-1.2673,-1.2586,-0.8438410596,-0.2258589404,-0.4391390728,-0.6305609272,-0.0455263158,-1.0241736842,-0.5305960265,-0.5391039735,-0.4308278146,-0.6388721854
Mountain - Opal,Opal,0.3099,0.0896,Not screened,0.2203,0.145,0.1027,0.165,0.1745,0.1054,-0.0369,-0.0649,0.0646,0.0404,0.0403,0.0048,-0.0306,-0.0501,-0.1253,-0.1849,-0.2877,-0.3191,-0.3526,-0.3346,-0.3346,-2.06945,2.37935,-0.5470861789,0.8569861789,0.512913245,-0.203013245,9.0245664384,-8.7146664384,0.4335243243,-0.1236243243
SouthCentral - Midcon,Panhandle,-0.0904,0.0004,Not screened,-0.0908,-0.0846,-0.1177,-0.0919,-0.0773,-0.1161,-0.197,-0.2378,-0.2027,-0.2369,-0.2853,-0.3134,-0.3449,-0.3568,-0.3742,-0.4108,-0.4342,-0.4796,-0.4996,-0.4954,-0.5049,-0.6853311258,0.5949311258,-0.4647350993,0.3743350993,-0.0264144737,-0.0639855263,-0.4325165563,0.3421165563,-0.355,0.2646
West - California,PG&E-Citygate,0.4497,0.148,Not screened,0.3017,0.1506,0.1872,0.2235,0.1253,0.0081,-0.1773,-0.1223,0.0371,0.124,0.1227,0.0899,0.0505,0.0422,-0.0549,-0.1504,-0.267,-0.3057,-0.3259,-0.3064,-0.3033,-1.8418543046,2.2915543046,-0.0409271523,0.4906271523,1.6790460526,-1.2293460526,10.7612251656,-10.3115251656,1.023013245,-0.573313245
West - California,PG&E-Topock,0.6098,0.1284,Not screened,0.4814,0.39,0.3396,0.45,0.3984,0.4299,0.1854,0.1399,0.3122,0.2469,0.1872,0.17,0.1225,0.0867,-0.015,-0.1168,-0.2377,-0.2651,-0.2881,-0.2825,-0.2825,-2.1381568493,2.7479568493,-0.6408278146,1.2506278146,0.3614302632,0.2483697368,9.4056589404,-8.7958589404,0.3538569536,0.2559430464
Midwest - Demand,PGLC,0.2049,-0.0113,Not screened,0.2162,0.2259,0.218,0.2286,0.2428,0.2391,0.2171,0.1976,0.2107,0.2232,0.2195,0.1965,0.2148,0.1998,0.1973,0.2074,0.1824,0.1686,0.1802,0.1732,0.1556,0.1720198675,0.0328801325,-0.2377483444,0.4426483444,0.1318421053,0.0730578947,-0.0499668874,0.2548668874,-0.1730794702,0.3779794702
