Parent_Group_Label,Parent_Group_Number,Parent_Group_Type,Subgroup_Label,Subgroup_Number,Subgroup_Type,Component,REGION,PriceRegionLabel,Group_Outlier_Flag,Hist_Count,Hist_Mean,Hist_SD,Hist_Daily_Change_SD,Hist_Median,Hist_Robust_SD,Hist_Min,Hist_Max,History_Last_Date,History_Last_Basis
Global_G04,4,regular,Global_G04_S02,2,supergroup,White River Hub,South Central,Mountain - WesTex,In-family,63,-0.5552412698412696,0.5430470687836281,0.1357727929527385,-0.38000000000000034,0.09636900000000058,-2.335,-0.17000000000000037,2026-09-03,-0.3952
Global_G04,4,regular,Global_G04_S03,3,regular,MountainWest-North,Rockies,Mountain - WesTex,No forward mark,60,-0.55425,0.575090136634456,0.15276317223516303,-0.3599999999999999,0.19273799999999983,-2.38,-0.18500000000000005,2026-09-02,-0.5149999999999997
Global_G04,4,regular,Global_G04_S03,3,regular,PG&E-Topock,Rockies,West - California,In-family,63,-0.3080920634920636,0.7158649325886759,0.21027793383510013,-0.13929999999999998,0.39867113999999987,-2.3160999999999996,0.7645,2026-09-03,-0.48
Global_G04,4,regular,Global_G04_S03,3,regular,Socal-Needles,West,West - California,In-family,63,-0.0816190476190476,0.7850909959293896,0.24319533317751615,0.15790000000000015,0.40549109999999977,-2.3108999999999997,1.141,2026-09-03,-0.4788999999999999
Global_G05,5,regular,Global_G05_S01,1,supergroup,Socal-Border,West,West - California,In-family,62,-0.014596774193548356,0.8941871931440677,0.4072026891544859,0.19250000000000012,0.44848649999999995,-2.3449999999999998,2.83,2026-09-02,-0.46999999999999975
Global_G05,5,regular,Global_G05_S01,1,supergroup,Socal-Ehrenberg,Rockies,West - California,In-family,63,0.08539682539682539,1.1093053249041616,0.7660586607625056,0.254,0.4670189999999999,-2.3662,5.3942,2026-09-03,-0.47940000000000005
Global_G05,5,regular,Global_G05_S02,2,supergroup,KRGT-Del Pool,Rockies,West - California,In-family,63,-0.12703650793650792,0.7590064027741299,0.23317044279094926,0.0900000000000003,0.44477999999999906,-2.29,1.13,2026-09-03,-0.37829999999999986
Global_G05,5,regular,Global_G05_S02,2,supergroup,KRGT-Rec Pool,Rockies,Mountain - Rockies,In-family,63,-0.39444444444444454,0.6390498940028779,0.17628031316671003,-0.2549999999999999,0.2372160000000002,-2.32,0.6350000000000002,2026-09-03,-0.4099999999999997
Global_G05,5,regular,Global_G05_S03,3,regular,EP-S.Mainline,South Central,Mountain - WesTex,No forward mark,63,0.10159523809523816,1.1089846048014536,0.700305126376414,0.22999999999999998,0.5782139999999995,-2.3549999999999995,5.05,2026-09-03,-0.4844999999999997
Global_G05,5,regular,Global_G05_S03,3,regular,Socal-Citygate,West,West - California,In-family,63,0.8090682539682541,0.7762682754225806,0.2359900054631064,1.04,0.4447800000000004,-1.3949999999999998,1.9599999999999995,2026-09-03,0.4013
Global_G05,5,regular,Global_G05_S04,4,regular,GTN-Malin,West,West - California,In-family,63,-0.3465158730158729,0.7068806371855537,0.17064864631505045,-0.16190000000000015,0.2825835599999998,-2.2745999999999995,0.7608000000000001,2026-09-03,-0.35250000000000004
Global_G05,5,regular,Global_G05_S04,4,regular,Ruby-Rec Pool,Rockies,Mountain - Opal,In-family,63,-0.3849714285714286,0.6750602186826938,0.16908226601604642,-0.2546999999999997,0.3002265000000002,-2.3478,0.6406000000000001,2026-09-03,-0.3857999999999997
