Parent_Group_Label,Parent_Group_Number,Parent_Group_Type,Subgroup_Label,Subgroup_Number,Subgroup_Type,Component,REGION,PriceRegionLabel,Group_Outlier_Flag,Hist_Count,Hist_Mean,Hist_SD,Hist_Daily_Change_SD,Hist_Median,Hist_Robust_SD,Hist_Min,Hist_Max,History_Last_Date,History_Last_Basis
Global_G02,2,regular,Global_G02_S03,3,supergroup,Rover-ANR,Northeast,Northeast - Appalachia,No forward mark,63,-0.3296492063492064,0.11338001028942855,0.06597362782969504,-0.31000000000000005,0.08895600000000008,-0.645,-0.16000000000000014,2026-09-04,-0.2528999999999999
Global_G02,2,regular,Global_G02_S03,3,supergroup,Rover-PEPL,Northeast,Northeast - Appalachia,No forward mark,63,-0.3295587301587302,0.11344449919833705,0.06596453392232557,-0.31000000000000005,0.09310728000000028,-0.645,-0.16000000000000014,2026-09-04,-0.24719999999999986
Global_G02,2,regular,Global_G02_S04,4,supergroup,APC-ACE,Midwest,Midwest - Chicago,No forward mark,63,-0.25827142857142854,0.12100226394652429,0.06441071981902112,-0.2549999999999999,0.08154299999999957,-0.605,-0.05500000000000016,2026-09-04,-0.17609999999999992
Global_G02,2,regular,Global_G02_S04,4,supergroup,Consumers,Midwest,Midwest - Demand,No forward mark,63,-0.24856031746031745,0.1143164757403937,0.06703278653897111,-0.25,0.09636899999999991,-0.5549999999999997,-0.06000000000000005,2026-09-04,-0.16930000000000023
Global_G02,2,regular,Global_G02_S05,5,regular,Michcon,Midwest,Midwest - Demand,Watch,63,-0.3518603174603173,0.18309039767961136,0.07619414103790027,-0.27500000000000036,0.14826000000000078,-0.8249999999999997,-0.11500000000000021,2026-09-04,-0.5472000000000001
Global_G02,2,regular,Global_G02_S05,5,regular,Union-Dawn,Northeast,Northeast - Appalachia,No forward mark,62,-0.23806451612903223,0.1133482767182983,0.06203570715119345,-0.24750000000000005,0.0704234999999998,-0.5349999999999997,-0.06000000000000005,2026-09-03,-0.16500000000000004
Global_G03,3,regular,Global_G03_S01,1,regular,Carthage,South Central,SouthCentral - Perryville,No forward mark,63,-0.33638412698412695,0.11946865860611683,0.07105541747996592,-0.33499999999999996,0.05930400000000005,-0.6799999999999997,-0.13500000000000023,2026-09-04,-0.29220000000000024
Global_G03,3,regular,Global_G03_S01,1,regular,NGPL-AM Pool,South Central,SouthCentral - Midcon,No forward mark,63,-0.3385888888888889,0.1315658036155428,0.07560333704047204,-0.31499999999999995,0.10378200000000042,-0.7249999999999996,-0.13500000000000023,2026-09-04,-0.32609999999999983
Global_G03,3,regular,Global_G03_S01,1,regular,NGPL-MidAm,Midwest,Midwest - Chicago,No forward mark,44,-0.26910909090909085,0.1280534060427692,0.0695916767499405,-0.23749999999999982,0.08524950000000016,-0.5899999999999999,-0.10000000000000009,2026-09-03,-0.16749999999999998
Global_G03,3,regular,Global_G03_S01,1,regular,PGLC,Midwest,Midwest - Demand,No forward mark,63,-0.26411111111111113,0.12200001997767033,0.06841027234445275,-0.22999999999999998,0.10378199999999976,-0.605,-0.05500000000000016,2026-09-04,-0.16720000000000024
Global_G03,3,regular,Global_G03_S02,2,supergroup,Bennington,South Central,SouthCentral - TexCoast,No forward mark,63,-0.27743492063492053,0.10769689119832523,0.06072487924903286,-0.2601,0.05663532000000034,-0.5803999999999996,-0.121,2026-09-04,-0.17149999999999999
Global_G03,3,regular,Global_G03_S02,2,supergroup,MEP-Lamar,South Central,SouthCentral - TexCoast,No forward mark,63,-0.2762285714285714,0.11098200294173158,0.061585944126998235,-0.2588999999999997,0.06226920000000104,-0.5873999999999997,-0.11319999999999997,2026-09-04,-0.18420000000000014
Global_G03,3,regular,Global_G03_S02,2,supergroup,NGPL-TXOK East,South Central,SouthCentral - TexCoast,No forward mark,63,-0.32878571428571435,0.11107280067906473,0.060435177631899595,-0.3049999999999997,0.06671700000000055,-0.645,-0.15500000000000025,2026-09-04,-0.23850000000000016
Global_G03,3,regular,Global_G03_S03,3,supergroup,Chicago,Midwest,Midwest - Chicago,In-family,62,-0.26177419354838716,0.12233753620917993,0.06569042731203047,-0.24499999999999966,0.08154300000000056,-0.5949999999999998,-0.050000000000000266,2026-09-03,-0.16999999999999993
Global_G03,3,regular,Global_G03_S03,3,supergroup,NGPL-Nicor,Midwest,Midwest - Chicago,No forward mark,63,-0.2593507936507936,0.121199998500234,0.06513685996558799,-0.24499999999999966,0.08154299999999957,-0.585,-0.05500000000000016,2026-09-04,-0.1640999999999999
Global_G03,3,regular,Global_G03_S03,3,supergroup,NGPL-Nipsco,Midwest,Midwest - Chicago,No forward mark,63,-0.2599587301587301,0.12197465711780721,0.06672142961411609,-0.24499999999999966,0.08895600000000073,-0.5949999999999998,-0.050000000000000266,2026-09-04,-0.16740000000000022
Global_G03,3,regular,Global_G03_S04,4,supergroup,REX E-NGPL,Midwest,Midwest - Chicago,No forward mark,63,-0.3096587301587302,0.12243102947785191,0.06591585753812798,-0.28610000000000024,0.09725855999999981,-0.6506999999999996,-0.12780000000000014,2026-09-04,-0.24650000000000016
Global_G03,3,regular,Global_G03_S04,4,supergroup,REX-Z3 Del Pool,Midwest,Midwest - Chicago,No forward mark,62,-0.31072580645161296,0.12184660732475107,0.06547827404249981,-0.28500000000000014,0.1074885,-0.645,-0.13000000000000034,2026-09-03,-0.23499999999999988
Global_G04,4,regular,Global_G04_S01,1,supergroup,Socal-Border,West,West - California,Watch,62,0.01548387096774195,0.8444955374958139,0.4072172826643614,0.19250000000000012,0.44848649999999995,-2.3449999999999998,2.83,2026-09-03,-0.48
Global_G04,4,regular,Global_G04_S01,1,supergroup,Socal-Ehrenberg,Rockies,West - California,No forward mark,63,0.11602539682539677,1.0663327450733031,0.7660570773816084,0.254,0.4670189999999999,-2.3662,5.3942,2026-09-04,-0.4323999999999999
Global_G04,4,regular,Global_G04_S02,2,supergroup,KRGT-Del Pool,Rockies,West - California,No forward mark,63,-0.0959746031746032,0.7073418450764885,0.2331364074849233,0.0900000000000003,0.44477999999999906,-2.29,1.13,2026-09-04,-0.33640000000000025
Global_G04,4,regular,Global_G04_S02,2,supergroup,KRGT-Rec Pool,Rockies,Mountain - Rockies,No forward mark,63,-0.3634619047619048,0.5895977246499874,0.17625443441357583,-0.2549999999999999,0.2372160000000002,-2.32,0.6350000000000002,2026-09-04,-0.3631000000000002
Global_G04,4,regular,Global_G04_S03,3,regular,EP-S.Mainline,South Central,Mountain - WesTex,No forward mark,63,0.13178571428571434,1.066091787468957,0.7003008119334191,0.22999999999999998,0.5782139999999995,-2.3549999999999995,5.05,2026-09-04,-0.44750000000000023
Global_G04,4,regular,Global_G04_S03,3,regular,Socal-Citygate,West,West - California,Watch,63,0.8381825396825399,0.7249779991188348,0.23600028191617928,1.04,0.4447800000000004,-1.3949999999999998,1.9599999999999995,2026-09-04,0.4455
Global_G04,4,regular,Global_G04_S04,4,regular,GTN-Malin,West,West - California,No forward mark,63,-0.31596984126984123,0.6623997376681829,0.17060884691662073,-0.16190000000000015,0.2729466599999999,-2.2745999999999995,0.7608000000000001,2026-09-04,-0.3460000000000001
Global_G04,4,regular,Global_G04_S04,4,regular,Ruby-Rec Pool,Rockies,Mountain - Opal,No forward mark,63,-0.3538952380952381,0.6265661519096719,0.16907412156436133,-0.2546999999999997,0.2815457399999996,-2.3478,0.6406000000000001,2026-09-04,-0.38580000000000014
Global_G05,5,regular,Global_G05_S01,1,supergroup,AB Pool (inter),South Central,SouthCentral - WesTex,No forward mark,63,-0.9942079365079364,0.4931009061497183,0.18410004908323202,-0.8437999999999999,0.2343990600000002,-2.6382,-0.4838,2026-09-04,-0.8871000000000002
Global_G05,5,regular,Global_G05_S01,1,supergroup,EP-Keystone,South Central,SouthCentral - WesTex,No forward mark,63,-1.0016682539682535,0.48510344118894255,0.18259526638494003,-0.8584999999999998,0.20652617999999995,-2.6258,-0.5234999999999999,2026-09-04,-0.9447999999999999
Global_G05,5,regular,Global_G05_S01,1,supergroup,EP-Waha Pool,South Central,SouthCentral - WesTex,No forward mark,63,-1.0032031746031744,0.482807662889269,0.18170935064577715,-0.8649999999999998,0.22238999999999987,-2.625,-0.5299999999999998,2026-09-04,-0.9167999999999998
Global_G05,5,regular,Global_G05_S01,1,supergroup,Waha,South Central,SouthCentral - WesTex,In-family,63,-1.0135492063492062,0.48854833282636884,0.18630232119062645,-0.8700000000000001,0.2372160000000002,-2.6599999999999997,-0.54,2026-09-04,-0.9036
Global_G05,5,regular,Global_G05_S02,2,supergroup,TW-Panhandle,South Central,Mountain - Panhandle,No forward mark,62,-1.0706451612903225,0.4757905275683241,0.204281327232172,-0.9475,0.26686800000000005,-2.58,-0.5800000000000001,2026-09-03,-0.9449999999999998
Global_G05,5,regular,Global_G05_S02,2,supergroup,TW-WTX,South Central,Mountain - Panhandle,No forward mark,63,-1.0769682539682544,0.4673722823042217,0.20145089125258844,-0.9503000000000001,0.19318278000000044,-2.58,-0.5817999999999999,2026-09-04,-1.0288
Global_G05,5,regular,Global_G05_S03,3,small_outlier,EP-Plains Pool,South Central,SouthCentral - WesTex,No forward mark,63,-0.908911111111111,0.45862371958379405,0.1802600982310788,-0.8138999999999998,0.2443324799999994,-2.38,-0.4270999999999998,2026-09-04,-0.8972000000000002
Global_G06,6,regular,Global_G06_S01,1,supergroup,AGT-CG (non-G),Northeast,Northeast - Demand,No forward mark,63,-0.46742063492063496,0.4923161537188208,0.3160629958703493,-0.5550000000000002,0.44477999999999973,-1.095,1.2599999999999998,2026-09-04,-1.0525
Global_G06,6,regular,Global_G06_S01,1,supergroup,TGP-Z6 200L North,Northeast,Northeast - Demand Rest,No forward mark,62,-0.23669354838709675,0.5840327182814915,0.35270403543484136,-0.4500000000000002,0.3076394999999997,-0.855,1.4700000000000002,2026-09-03,-0.855
