Date,Horizon,State_A,State_B,GEOID_A,GEOID_B,Comp_A,Comp_B,Tension_Score,N_score,W_score,P_score,Signal_Percentile,Risk_Bucket,Expected_Move_Label,Data_Quality_Flag
2026-08-06,H1,LA,LA,LA|OUACHITA,LA|RICHLAND,TGT-Mainline,CG-Mainline,74,73.836,,,88.16,High,Expansion_Risk,Imputed_WP
2026-08-06,H1,LA,LA,LA|POINTE COUPEE,LA|ST MARTIN,TETCO-ELA,Sonat-Z0 South,55,55.3968,,,63.07,Medium,Normal,Imputed_WP
2026-08-06,H1,LA,LA,LA|POINTE COUPEE,LA|WEST BATON ROUGE,TETCO-ELA,FGT-Z2,,,,,,,,Missing_N
2026-08-06,H1,LA,LA,LA|RICHLAND,LA|WEST CARROLL,CG-Mainline,Trunkline-Z1A,65,65.119,,,76.33,Medium,Normal,Imputed_WP
2026-08-06,H1,LA,LA,LA|ST MARTIN,LA|ST MARY,Sonat-Z0 South,ANR-SE-T,71,70.8862,,,83.75,Medium,Normal,Imputed_WP
2026-08-06,H1,LA,LA,LA|ST MARY,LA|TERREBONNE,ANR-SE-T,CG-Onshore,39,38.9021,,,33.92,Low,Normal,Imputed_WP
2026-08-06,H1,LA,LA,LA|WEST BATON ROUGE,LA|WEST FELICIANA,FGT-Z2,TETCO-ELA,,,,,,,,Missing_N
2026-08-06,H1,NY,NY,NY|ALBANY,NY|GREENE,Eastern Gas North,Iroquois-Z2,64,72.2751,0.998,85.4167,74.38,Medium,Normal,Full
2026-08-06,H1,NY,NY,NY|ALBANY,NY|SCHOHARIE,Eastern Gas North,Iroquois-Z1,,,0.998,,,,,Missing_N
2026-08-06,H1,NY,NY,NY|ALLEGANY,NY|LIVINGSTON,Eastern Gas North,TGP-Niagara,,,0.998,88.1548,,,,Missing_N
2026-08-06,H1,NY,NY,NY|ALLEGANY,NY|STEUBEN,Eastern Gas North,TGP-Niagara,,,0.998,88.1548,,,,Missing_N
2026-08-06,H1,NY,PA,NY|ALLEGANY,PA|MCKEAN,Eastern Gas North,TGP-Z4 Sta-313,51,47.4206,0.998,91.6402,52.3,Medium,Normal,Full
2026-08-06,H1,NY,PA,NY|ALLEGANY,PA|POTTER,Eastern Gas North,Eastern Gas South,64,68.0952,0.998,91.6402,74.38,Medium,Normal,Full
2026-08-06,H1,NY,PA,NY|CHAUTAUQUA,PA|ERIE,TGP-Niagara,TGP-Z4 Sta-219,,,0.998,88.1548,,,,Missing_N
2026-08-06,H1,NY,NY,NY|CHEMUNG,NY|STEUBEN,Eastern Gas North,TGP-Niagara,,,0.998,,,,,Missing_N
2026-08-06,H1,NY,PA,NY|CHEMUNG,PA|BRADFORD,Eastern Gas North,TGP-Z4 300L,60,81.7989,0.998,,73.32,Medium,Normal,Imputed_P
2026-08-06,H1,NY,PA,NY|CHEMUNG,PA|TIOGA,Eastern Gas North,Eastern Gas South,50,68.0952,0.998,,49.29,Low,Normal,Imputed_P
2026-08-06,H1,NY,NY,NY|DUTCHESS,NY|PUTNAM,Iroquois-Z2,AGT-CG (non-G),60,64.7751,0.998,85.4167,73.32,Medium,Normal,Full
2026-08-06,H1,NY,NY,NY|ERIE,NY|GENESEE,TGP-Niagara,Eastern Gas North,,,0.998,88.1548,,,,Missing_N
2026-08-06,H1,NY,NY,NY|ERIE,NY|WYOMING,TGP-Niagara,Eastern Gas North,,,0.998,88.1548,,,,Missing_N
2026-08-06,H1,NY,NY,NY|GENESEE,NY|LIVINGSTON,Eastern Gas North,TGP-Niagara,,,0.998,88.1548,,,,Missing_N
2026-08-06,H1,NY,NY,NY|GENESEE,NY|NIAGARA,Eastern Gas North,TGP-Niagara,,,0.998,88.1548,,,,Missing_N
2026-08-06,H1,NY,NY,NY|GREENE,NY|SCHOHARIE,Iroquois-Z2,Iroquois-Z1,,,0.998,85.4167,,,,Missing_N
2026-08-06,H1,NY,NY,NY|HERKIMER,NY|MONTGOMERY,Iroquois-Z1,Eastern Gas North,,,0.998,87.7447,,,,Missing_N
2026-08-06,H1,NY,NY,NY|LIVINGSTON,NY|WYOMING,TGP-Niagara,Eastern Gas North,,,0.998,88.1548,,,,Missing_N
2026-08-06,H1,NY,NY,NY|MADISON,NY|ONEIDA,Eastern Gas North,Iroquois-Z1,,,0.998,87.7447,,,,Missing_N
2026-08-06,H1,NY,NY,NY|MONTGOMERY,NY|SCHOHARIE,Eastern Gas North,Iroquois-Z1,,,0.998,,,,,Missing_N
2026-08-06,H1,NY,NY,NY|SCHUYLER,NY|STEUBEN,Eastern Gas North,TGP-Niagara,,,0.998,,,,,Missing_N
2026-08-06,H1,NY,PA,NY|STEUBEN,PA|POTTER,TGP-Niagara,Eastern Gas South,,,0.998,91.6402,,,,Missing_N
2026-08-06,H1,NY,PA,NY|STEUBEN,PA|TIOGA,TGP-Niagara,Eastern Gas South,,,0.998,,,,,Missing_N
2026-08-06,H1,OH,OH,OH|ATHENS,OH|PERRY,TGP-Z4 Sta-219,TETCO-M2 (receipt),38,46.1508,15.1697,,30.74,Low,Normal,Imputed_P
2026-08-06,H1,OH,OH,OH|ATHENS,OH|VINTON,TGP-Z4 Sta-219,TETCO-M2 (receipt),38,46.1508,15.1697,,30.74,Low,Normal,Imputed_P
2026-08-06,H1,OH,OH,OH|ATHENS,OH|WASHINGTON,TGP-Z4 Sta-219,TETCO-M2 (receipt),38,46.1508,15.1697,,30.74,Low,Normal,Imputed_P
2026-08-06,H1,OH,WV,OH|ATHENS,WV|WOOD,TGP-Z4 Sta-219,Eastern Gas South,51,63.2407,15.1697,,52.3,Medium,Normal,Imputed_P
2026-08-06,H1,OH,OH,OH|CARROLL,OH|HARRISON,TGP-Z4 Sta-219,Eastern Gas South,51,63.2407,15.1697,,52.3,Medium,Normal,Imputed_P
2026-08-06,H1,OH,OH,OH|CARROLL,OH|JEFFERSON,TGP-Z4 Sta-219,TETCO-M2 (receipt),38,46.1508,15.1697,,30.74,Low,Normal,Imputed_P
2026-08-06,H1,OH,OH,OH|COLUMBIANA,OH|JEFFERSON,TGP-Z4 Sta-219,TETCO-M2 (receipt),38,46.1508,15.1697,,30.74,Low,Normal,Imputed_P
2026-08-06,H1,OH,PA,OH|COLUMBIANA,PA|BEAVER,TGP-Z4 Sta-219,Eastern Gas South,51,63.2407,15.1697,,52.3,Medium,Normal,Imputed_P
2026-08-06,H1,OH,OH,OH|DARKE,OH|MERCER,TETCO-M2 (receipt),Eastern Gas South,52,65.6349,15.1697,,57.24,Medium,Normal,Imputed_P
2026-08-06,H1,OH,OH,OH|FAIRFIELD,OH|PICKAWAY,TETCO-M2 (receipt),Eastern Gas South,52,65.6349,15.1697,,57.24,Medium,Normal,Imputed_P
2026-08-06,H1,OH,OH,OH|FAYETTE,OH|PICKAWAY,TETCO-M2 (receipt),Eastern Gas South,52,65.6349,15.1697,,57.24,Medium,Normal,Imputed_P
2026-08-06,H1,OH,OH,OH|FRANKLIN,OH|PICKAWAY,TETCO-M2 (receipt),Eastern Gas South,52,65.6349,15.1697,,57.24,Medium,Normal,Imputed_P
2026-08-06,H1,OH,OH,OH|GUERNSEY,OH|HARRISON,TGP-Z4 Sta-219,Eastern Gas South,51,63.2407,15.1697,,52.3,Medium,Normal,Imputed_P
2026-08-06,H1,OH,OH,OH|GUERNSEY,OH|MUSKINGUM,TGP-Z4 Sta-219,Eastern Gas South,51,63.2407,15.1697,,52.3,Medium,Normal,Imputed_P
2026-08-06,H1,OH,OH,OH|GUERNSEY,OH|NOBLE,TGP-Z4 Sta-219,Rover (receipt),36,43.6376,15.1697,,25.09,Low,Normal,Imputed_P
